Employee ID,Office Location,Department,Idea Submission Date,Idea Title,Idea Category,Number of Votes,Collaboration Status,Approval Status,Implementation Status,Security Concern Flag
78c2fb9a,France,Infrastructure,03/12/2024,Idea 763,Smart Cities,138,Cross-Regional Team,Pending,Not Started,No
8d559a4f,Canada,Research,10/01/2025,Idea 764,Smart Cities,209,Single Contributor,Rejected,Not Started,No
2dcc8077,UK,Renewable Energy,09/01/2024,Idea 765,Water Management,109,Single Contributor,Approved,Not Started,No
57ca6305,India,Technology,27/03/2024,Idea 766,Water Management,410,Single Contributor,Rejected,Not Started,No
4a4f9061,Australia,Environmental Policy,24/09/2024,Idea 767,Smart Cities,485,Single Contributor,Pending,Not Started,No
ed6c50fd,Australia,Environmental Policy,09/03/2024,Idea 768,Sustainable Transport,137,Single Contributor,Rejected,Not Started,Yes
9d8a8953,South Africa,Environmental Policy,01/10/2024,Idea 769,Water Management,254,Single Contributor,Approved,Completed,Yes
fc82e35f,Germany,Urban Development,29/01/2025,Idea 770,Water Management,70,Cross-Regional Team,Approved,Completed,No
102e4fb1,India,Infrastructure,11/05/2023,Idea 771,Circular Economy,5,Cross-Regional Team,Rejected,Not Started,No
30ee7a55,India,Urban Development,27/07/2023,Idea 772,Sustainable Transport,102,Single Contributor,Rejected,Not Started,No
135bb175,China,Infrastructure,18/09/2024,Idea 773,Sustainable Transport,37,Cross-Regional Team,Approved,Completed,No
3c7a7512,Canada,Environmental Policy,08/05/2023,Idea 774,Circular Economy,9,Cross-Regional Team,Approved,Completed,No
cdf9cf34,China,Urban Development,18/06/2023,Idea 775,Sustainable Transport,253,Single Contributor,Pending,Not Started,No
0b8e2457,France,Research,31/08/2023,Idea 776,Water Management,360,Single Contributor,Pending,Not Started,No
c3b9fbfd,Mexico,Infrastructure,29/07/2023,Idea 777,Carbon Capture,240,Single Contributor,Pending,Not Started,No
48a01aa6,Australia,Urban Development,03/11/2024,Idea 778,Renewable Energy,284,Cross-Regional Team,Pending,Not Started,Yes
8d68539a,Mexico,Renewable Energy,02/03/2024,Idea 779,Carbon Capture,108,Single Contributor,Approved,Not Started,No
1897b2ac,Mexico,Renewable Energy,01/08/2024,Idea 780,Renewable Energy,371,Single Contributor,Approved,Not Started,No
0ae3e771,Germany,Technology,03/06/2024,Idea 781,Circular Economy,151,Cross-Regional Team,Pending,Not Started,No
a41f0cb1,Canada,Technology,08/10/2024,Idea 782,Circular Economy,122,Single Contributor,Pending,Not Started,No
cf6a8c0d,Australia,Technology,26/11/2024,Idea 783,Water Management,77,Cross-Regional Team,Pending,Not Started,Yes
ee80d8ec,Japan,Urban Development,29/01/2025,Idea 784,Circular Economy,208,Cross-Regional Team,Rejected,Not Started,Yes
cab55965,USA,Technology,11/08/2023,Idea 785,Smart Cities,428,Cross-Regional Team,Pending,Not Started,No
73af5318,Brazil,Renewable Energy,25/04/2023,Idea 786,Carbon Capture,14,Single Contributor,Approved,Completed,No
3148ce3c,India,Renewable Energy,18/02/2025,Idea 787,Circular Economy,453,Single Contributor,Rejected,Not Started,No
74d8f83d,Brazil,Environmental Policy,14/05/2023,Idea 788,Carbon Capture,415,Single Contributor,Rejected,Not Started,No
d2bb043b,Australia,Technology,19/06/2023,Idea 789,Water Management,463,Cross-Regional Team,Pending,Not Started,No
369d6215,India,Renewable Energy,29/07/2024,Idea 790,Circular Economy,381,Cross-Regional Team,Approved,In Progress,No
4167304,Canada,Renewable Energy,14/12/2024,Idea 791,Renewable Energy,411,Cross-Regional Team,Rejected,Not Started,No
3026e893,Canada,Environmental Policy,07/09/2023,Idea 792,Circular Economy,166,Cross-Regional Team,Rejected,Not Started,No
19e7310e,Mexico,Renewable Energy,19/06/2024,Idea 793,Carbon Capture,289,Single Contributor,Rejected,Not Started,No
38c57828,Mexico,Urban Development,21/01/2024,Idea 794,Circular Economy,263,Single Contributor,Pending,Not Started,No
37a66648,China,Urban Development,10/02/2025,Idea 795,Circular Economy,437,Single Contributor,Rejected,Not Started,No
60abec74,China,Renewable Energy,17/03/2024,Idea 796,Renewable Energy,485,Single Contributor,Pending,Not Started,No
87f5348b,Canada,Environmental Policy,09/07/2024,Idea 797,Smart Cities,412,Single Contributor,Approved,Completed,No
55272cd6,Canada,Research,16/03/2023,Idea 798,Smart Cities,13,Single Contributor,Rejected,Not Started,No
03a01763,South Africa,Infrastructure,05/01/2025,Idea 799,Circular Economy,108,Single Contributor,Pending,Not Started,No
e59e5218,UK,Urban Development,17/06/2023,Idea 800,Renewable Energy,310,Cross-Regional Team,Rejected,Not Started,No
36f3f364,Brazil,Environmental Policy,14/04/2023,Idea 801,Smart Cities,5,Single Contributor,Approved,In Progress,No
6a384bfb,Brazil,Infrastructure,11/05/2024,Idea 802,Renewable Energy,453,Cross-Regional Team,Approved,Not Started,No
e7f0b33d,South Africa,Environmental Policy,19/08/2023,Idea 803,Sustainable Transport,70,Single Contributor,Approved,Not Started,No
2cc68db8,Australia,Environmental Policy,05/11/2023,Idea 804,Carbon Capture,470,Cross-Regional Team,Rejected,Not Started,No
f52320c0,Mexico,Renewable Energy,07/09/2023,Idea 805,Smart Cities,303,Single Contributor,Pending,Not Started,No
674a4ffc,USA,Infrastructure,22/09/2024,Idea 806,Smart Cities,87,Cross-Regional Team,Approved,Completed,No
923c6575,India,Urban Development,30/12/2024,Idea 807,Carbon Capture,9,Single Contributor,Rejected,Not Started,No
30539497,France,Technology,29/01/2025,Idea 808,Sustainable Transport,297,Single Contributor,Approved,In Progress,No
74b61979,South Africa,Renewable Energy,16/03/2024,Idea 809,Carbon Capture,333,Single Contributor,Rejected,Not Started,No
ebb63398,Canada,Research,18/04/2024,Idea 810,Sustainable Transport,222,Single Contributor,Rejected,Not Started,No
1b9a527f,China,Research,02/07/2023,Idea 811,Smart Cities,450,Cross-Regional Team,Rejected,Not Started,No
8e79b5fd,Germany,Research,09/02/2024,Idea 812,Water Management,270,Single Contributor,Rejected,Not Started,No
a1178485,Mexico,Urban Development,08/02/2025,Idea 813,Smart Cities,378,Single Contributor,Rejected,Not Started,No
8e42a8c0,France,Technology,07/08/2024,Idea 814,Sustainable Transport,65,Single Contributor,Approved,Not Started,No
af10764e,UK,Urban Development,20/06/2024,Idea 815,Sustainable Transport,104,Single Contributor,Rejected,Not Started,Yes
38e85ea7,Japan,Urban Development,01/02/2025,Idea 816,Carbon Capture,24,Single Contributor,Rejected,Not Started,No
073248a9,USA,Environmental Policy,29/04/2024,Idea 817,Carbon Capture,336,Cross-Regional Team,Rejected,Not Started,No
246c3649,Japan,Research,28/04/2023,Idea 818,Water Management,168,Cross-Regional Team,Rejected,Not Started,No
2af2ccab,Brazil,Environmental Policy,12/07/2024,Idea 819,Water Management,111,Single Contributor,Rejected,Not Started,No
5dc8f43c,China,Technology,27/11/2024,Idea 820,Carbon Capture,440,Single Contributor,Pending,Not Started,Yes
b6e4a9f6,Japan,Technology,12/09/2023,Idea 821,Smart Cities,222,Cross-Regional Team,Approved,Completed,No
241826fc,India,Environmental Policy,25/03/2024,Idea 822,Water Management,171,Single Contributor,Pending,Not Started,No
da402ba7,Australia,Research,21/06/2023,Idea 823,Water Management,280,Single Contributor,Rejected,Not Started,No
5ff80aba,Canada,Renewable Energy,24/10/2024,Idea 824,Smart Cities,170,Cross-Regional Team,Rejected,Not Started,No
187cbd4e,UK,Infrastructure,01/10/2024,Idea 825,Carbon Capture,296,Cross-Regional Team,Approved,Not Started,No
fda8d442,China,Urban Development,03/12/2024,Idea 826,Carbon Capture,342,Single Contributor,Approved,Completed,No
e9b1c9d2,UK,Technology,13/06/2024,Idea 827,Water Management,99,Single Contributor,Pending,Not Started,No
bc10a06b,Canada,Environmental Policy,16/07/2024,Idea 828,Carbon Capture,178,Single Contributor,Approved,Completed,Yes
f4707c2f,Brazil,Renewable Energy,12/05/2024,Idea 829,Smart Cities,242,Cross-Regional Team,Approved,Not Started,No
eb4dd193,India,Environmental Policy,17/10/2024,Idea 830,Circular Economy,318,Cross-Regional Team,Approved,Completed,No
bde6f213,Germany,Renewable Energy,28/05/2023,Idea 831,Circular Economy,8,Cross-Regional Team,Rejected,Not Started,No
40c7f5ed,China,Renewable Energy,28/07/2023,Idea 832,Water Management,356,Single Contributor,Approved,Completed,No
6af1de9b,Canada,Research,12/04/2023,Idea 833,Circular Economy,355,Cross-Regional Team,Approved,In Progress,No
d6c1bc10,Australia,Research,17/09/2024,Idea 834,Circular Economy,171,Single Contributor,Pending,Not Started,No
514b12b6,India,Urban Development,01/11/2023,Idea 835,Sustainable Transport,350,Single Contributor,Rejected,Not Started,No
9f7f35bc,South Africa,Renewable Energy,10/01/2025,Idea 836,Smart Cities,359,Single Contributor,Rejected,Not Started,No
17a1b50d,India,Infrastructure,15/05/2024,Idea 837,Circular Economy,142,Cross-Regional Team,Pending,Not Started,No
48993f1d,France,Infrastructure,20/03/2023,Idea 838,Sustainable Transport,13,Single Contributor,Approved,In Progress,No
0b56522b,USA,Technology,30/08/2024,Idea 839,Renewable Energy,474,Single Contributor,Pending,Not Started,No
facc5a34,UK,Renewable Energy,24/09/2024,Idea 840,Water Management,5,Single Contributor,Approved,Not Started,No
99c26668,France,Infrastructure,31/10/2023,Idea 841,Carbon Capture,415,Single Contributor,Pending,Not Started,No
77da7e35,Brazil,Urban Development,03/12/2024,Idea 842,Sustainable Transport,136,Cross-Regional Team,Approved,Not Started,No
54843f01,Japan,Research,30/03/2024,Idea 843,Renewable Energy,442,Single Contributor,Pending,Not Started,No
f5dba703,Japan,Urban Development,04/06/2023,Idea 844,Renewable Energy,228,Single Contributor,Rejected,Not Started,No
55623444,Canada,Research,29/06/2023,Idea 845,Circular Economy,14,Single Contributor,Pending,Not Started,No
b6bd113e,France,Environmental Policy,08/08/2024,Idea 846,Water Management,45,Single Contributor,Pending,Not Started,No
a63e1903,South Africa,Urban Development,23/07/2024,Idea 847,Smart Cities,428,Single Contributor,Pending,Not Started,No
6d3508ea,France,Environmental Policy,28/08/2024,Idea 848,Carbon Capture,0,Single Contributor,Rejected,Not Started,No
a1dcf0d0,Germany,Research,20/03/2023,Idea 849,Carbon Capture,272,Single Contributor,Pending,Not Started,No
a6193525,Australia,Research,07/12/2023,Idea 850,Renewable Energy,94,Cross-Regional Team,Approved,Not Started,No
2fcb2a9e,Brazil,Infrastructure,24/09/2024,Idea 851,Water Management,363,Single Contributor,Approved,Completed,No
cebcce56,Canada,Technology,13/09/2023,Idea 852,Water Management,19,Single Contributor,Approved,In Progress,No
a2fe4862,South Africa,Technology,10/08/2023,Idea 853,Circular Economy,124,Single Contributor,Approved,Completed,No
64512867,UK,Research,30/12/2024,Idea 854,Renewable Energy,142,Cross-Regional Team,Pending,Not Started,No
3d861d90,UK,Technology,13/05/2023,Idea 855,Circular Economy,122,Single Contributor,Approved,Completed,No
4c1ae8d5,France,Technology,21/02/2024,Idea 856,Renewable Energy,204,Single Contributor,Rejected,Not Started,No
35ad96e9,India,Environmental Policy,31/08/2023,Idea 857,Circular Economy,57,Cross-Regional Team,Rejected,Not Started,No
f42aaf80,Japan,Urban Development,15/08/2024,Idea 858,Smart Cities,66,Cross-Regional Team,Rejected,Not Started,No
695e158e,UK,Infrastructure,20/06/2023,Idea 859,Water Management,138,Single Contributor,Pending,Not Started,No
72cabf16,India,Environmental Policy,16/12/2023,Idea 860,Carbon Capture,82,Single Contributor,Rejected,Not Started,No
1be649f7,Japan,Renewable Energy,27/05/2023,Idea 861,Renewable Energy,149,Cross-Regional Team,Approved,In Progress,No
f8a3f5c2,Germany,Renewable Energy,10/01/2025,Idea 862,Renewable Energy,64,Cross-Regional Team,Rejected,Not Started,Yes
c5c73c9a,France,Urban Development,02/09/2024,Idea 863,Water Management,470,Cross-Regional Team,Approved,Completed,No
28ebb742,Canada,Urban Development,12/07/2024,Idea 864,Renewable Energy,442,Single Contributor,Approved,In Progress,No
a40d5b95,Japan,Environmental Policy,24/02/2024,Idea 865,Circular Economy,340,Single Contributor,Approved,Not Started,No
44184c06,Japan,Research,08/05/2024,Idea 866,Sustainable Transport,3,Cross-Regional Team,Pending,Not Started,No
91bb5dba,Mexico,Infrastructure,11/12/2023,Idea 867,Renewable Energy,424,Single Contributor,Rejected,Not Started,No
d185a997,Germany,Renewable Energy,06/01/2024,Idea 868,Carbon Capture,51,Cross-Regional Team,Approved,Completed,No
233fac4c,UK,Infrastructure,02/08/2023,Idea 869,Renewable Energy,220,Cross-Regional Team,Approved,In Progress,No
b8ae6906,Germany,Technology,01/11/2024,Idea 870,Water Management,372,Cross-Regional Team,Approved,In Progress,No
fa9134b9,Australia,Urban Development,07/11/2024,Idea 871,Circular Economy,416,Single Contributor,Approved,In Progress,No
5a1da6d3,Mexico,Urban Development,17/07/2024,Idea 872,Circular Economy,307,Cross-Regional Team,Approved,In Progress,No
2096f4e2,Japan,Infrastructure,15/05/2024,Idea 873,Carbon Capture,489,Cross-Regional Team,Rejected,Not Started,No
a6210fdf,Germany,Environmental Policy,09/02/2025,Idea 874,Renewable Energy,373,Single Contributor,Rejected,Not Started,No
339417b7,South Africa,Renewable Energy,09/07/2024,Idea 875,Circular Economy,418,Single Contributor,Pending,Not Started,No
1499e1f6,Germany,Infrastructure,12/11/2023,Idea 876,Smart Cities,222,Cross-Regional Team,Pending,Not Started,No
ca3bf312,Japan,Environmental Policy,09/11/2024,Idea 877,Carbon Capture,198,Single Contributor,Pending,Not Started,No
db5be269,South Africa,Research,22/06/2024,Idea 878,Sustainable Transport,293,Cross-Regional Team,Approved,Completed,Yes
a2f59710,France,Infrastructure,28/05/2024,Idea 879,Sustainable Transport,462,Single Contributor,Approved,Not Started,No
3.06E+65,South Africa,Research,05/06/2024,Idea 880,Smart Cities,244,Single Contributor,Pending,Not Started,No
fac8db90,Australia,Infrastructure,28/06/2023,Idea 881,Circular Economy,351,Single Contributor,Pending,Not Started,No
95e3fc9b,Germany,Renewable Energy,29/04/2023,Idea 882,Circular Economy,126,Single Contributor,Approved,Not Started,No
c8048dfe,Germany,Research,01/06/2023,Idea 883,Water Management,239,Single Contributor,Approved,Not Started,No
cbf4612c,India,Infrastructure,27/06/2024,Idea 884,Circular Economy,297,Cross-Regional Team,Approved,In Progress,No
3b8d0f28,Brazil,Urban Development,30/11/2024,Idea 885,Sustainable Transport,98,Single Contributor,Rejected,Not Started,No
a3393b71,South Africa,Technology,22/07/2023,Idea 886,Sustainable Transport,308,Cross-Regional Team,Rejected,Not Started,No
bde2e13a,Germany,Technology,21/05/2023,Idea 887,Sustainable Transport,44,Cross-Regional Team,Pending,Not Started,No
6ba2b88f,South Africa,Environmental Policy,05/05/2024,Idea 888,Circular Economy,293,Single Contributor,Rejected,Not Started,No
69c47f97,Mexico,Environmental Policy,07/01/2025,Idea 889,Water Management,314,Cross-Regional Team,Rejected,Not Started,No
3636a32c,Japan,Infrastructure,17/09/2024,Idea 890,Smart Cities,171,Cross-Regional Team,Rejected,Not Started,No
e21116f7,India,Technology,19/04/2023,Idea 891,Water Management,310,Single Contributor,Pending,Not Started,Yes
9e65b37c,USA,Environmental Policy,20/01/2025,Idea 892,Circular Economy,451,Single Contributor,Approved,Completed,No
b0c2d570,Mexico,Renewable Energy,30/09/2023,Idea 893,Circular Economy,304,Single Contributor,Rejected,Not Started,No
a2a12989,Australia,Infrastructure,09/12/2024,Idea 894,Circular Economy,159,Cross-Regional Team,Rejected,Not Started,No
e1436c78,Germany,Renewable Energy,28/04/2023,Idea 895,Carbon Capture,338,Cross-Regional Team,Pending,Not Started,No
d7384e5d,China,Urban Development,02/05/2023,Idea 896,Circular Economy,480,Cross-Regional Team,Rejected,Not Started,No
a8c2100c,Germany,Infrastructure,03/11/2023,Idea 897,Sustainable Transport,3,Single Contributor,Approved,Not Started,No
d0604642,Brazil,Infrastructure,20/01/2024,Idea 898,Circular Economy,441,Single Contributor,Approved,Completed,No
d6fda083,France,Research,10/08/2023,Idea 899,Carbon Capture,448,Cross-Regional Team,Approved,In Progress,No
78c0c86c,France,Research,12/09/2023,Idea 900,Water Management,268,Cross-Regional Team,Pending,Not Started,No
3ac1a793,India,Renewable Energy,20/07/2023,Idea 901,Smart Cities,317,Single Contributor,Rejected,Not Started,No
660afebc,Japan,Infrastructure,07/12/2023,Idea 902,Sustainable Transport,265,Cross-Regional Team,Rejected,Not Started,No
14c0d5f6,France,Infrastructure,10/12/2024,Idea 903,Renewable Energy,343,Single Contributor,Pending,Not Started,No
6ef02b50,China,Renewable Energy,23/07/2024,Idea 904,Circular Economy,106,Single Contributor,Pending,Not Started,No
fa974fad,USA,Infrastructure,22/11/2023,Idea 905,Renewable Energy,410,Single Contributor,Approved,Completed,Yes
d65b8ef7,South Africa,Technology,04/05/2024,Idea 906,Renewable Energy,356,Single Contributor,Approved,Not Started,No
58878ea2,Mexico,Urban Development,11/10/2023,Idea 907,Renewable Energy,218,Single Contributor,Pending,Not Started,No
4a6dc688,Brazil,Research,31/08/2024,Idea 908,Circular Economy,222,Cross-Regional Team,Approved,In Progress,No
51e263c8,China,Infrastructure,13/03/2024,Idea 909,Renewable Energy,310,Single Contributor,Rejected,Not Started,No
573551cf,Japan,Technology,07/08/2023,Idea 910,Renewable Energy,395,Single Contributor,Rejected,Not Started,No
e67bafef,South Africa,Technology,08/08/2023,Idea 911,Sustainable Transport,93,Cross-Regional Team,Approved,In Progress,No
a20297e0,USA,Environmental Policy,31/10/2024,Idea 912,Water Management,256,Cross-Regional Team,Rejected,Not Started,No
6606d1f7,Australia,Technology,03/09/2024,Idea 913,Smart Cities,262,Single Contributor,Approved,In Progress,No
1801a41f,Brazil,Infrastructure,11/05/2023,Idea 914,Sustainable Transport,358,Cross-Regional Team,Approved,In Progress,No
18b9a7b4,China,Infrastructure,17/06/2023,Idea 915,Sustainable Transport,500,Cross-Regional Team,Rejected,Not Started,No
10a4c719,China,Technology,02/05/2024,Idea 916,Circular Economy,121,Single Contributor,Rejected,Not Started,No
87691bcb,Japan,Infrastructure,29/10/2023,Idea 917,Water Management,25,Cross-Regional Team,Pending,Not Started,Yes
3be52244,France,Technology,18/12/2023,Idea 918,Renewable Energy,163,Single Contributor,Approved,Not Started,No
3950b431,France,Environmental Policy,20/02/2025,Idea 919,Sustainable Transport,86,Single Contributor,Rejected,Not Started,No
c87d3b51,Mexico,Infrastructure,08/07/2023,Idea 920,Renewable Energy,339,Single Contributor,Rejected,Not Started,No
0c3aea96,Mexico,Renewable Energy,08/01/2024,Idea 921,Circular Economy,79,Cross-Regional Team,Rejected,Not Started,No
f2550796,South Africa,Research,22/05/2024,Idea 922,Smart Cities,297,Cross-Regional Team,Rejected,Not Started,No
6f0b39a3,France,Infrastructure,09/03/2023,Idea 923,Sustainable Transport,198,Cross-Regional Team,Rejected,Not Started,No
5aca5661,South Africa,Technology,27/05/2024,Idea 924,Sustainable Transport,496,Single Contributor,Approved,In Progress,No
ed8ea052,Japan,Environmental Policy,07/04/2024,Idea 925,Renewable Energy,483,Single Contributor,Approved,Completed,No
a4348437,UK,Urban Development,12/07/2024,Idea 926,Water Management,103,Cross-Regional Team,Rejected,Not Started,No
bd0c7e35,Mexico,Renewable Energy,01/05/2024,Idea 927,Sustainable Transport,1,Single Contributor,Approved,Completed,No
80dc39c9,Japan,Environmental Policy,04/06/2024,Idea 928,Sustainable Transport,230,Cross-Regional Team,Approved,Not Started,No
5af00841,USA,Research,27/09/2023,Idea 929,Sustainable Transport,19,Single Contributor,Approved,Completed,No
1ba90793,Mexico,Infrastructure,11/04/2023,Idea 930,Water Management,179,Cross-Regional Team,Pending,Not Started,No
f38e9bfb,Mexico,Environmental Policy,12/09/2023,Idea 931,Sustainable Transport,64,Single Contributor,Rejected,Not Started,No
7b1951be,Mexico,Infrastructure,22/02/2024,Idea 932,Smart Cities,196,Cross-Regional Team,Approved,Not Started,No
475206b1,France,Environmental Policy,04/01/2024,Idea 933,Carbon Capture,78,Single Contributor,Rejected,Not Started,Yes
9b6eccfd,Brazil,Infrastructure,14/03/2023,Idea 934,Renewable Energy,135,Single Contributor,Rejected,Not Started,No
4f51b5df,Australia,Environmental Policy,07/06/2024,Idea 935,Renewable Energy,49,Cross-Regional Team,Rejected,Not Started,No
4e6e9904,South Africa,Environmental Policy,25/08/2023,Idea 936,Water Management,378,Single Contributor,Approved,Not Started,No
d84c295a,France,Renewable Energy,10/12/2024,Idea 937,Water Management,264,Cross-Regional Team,Rejected,Not Started,No
87bb757b,France,Research,16/03/2023,Idea 938,Carbon Capture,441,Cross-Regional Team,Approved,Completed,No
4701b7ac,Japan,Infrastructure,15/08/2024,Idea 939,Smart Cities,365,Cross-Regional Team,Approved,In Progress,No
de6b677e,China,Renewable Energy,14/10/2024,Idea 940,Carbon Capture,355,Single Contributor,Rejected,Not Started,No
d57580e6,UK,Renewable Energy,17/07/2024,Idea 941,Smart Cities,184,Single Contributor,Approved,Not Started,No
f3ba8b80,India,Technology,14/09/2024,Idea 942,Renewable Energy,308,Cross-Regional Team,Rejected,Not Started,No
4089a588,China,Technology,12/07/2024,Idea 943,Circular Economy,96,Cross-Regional Team,Pending,Not Started,No
416c99c2,Canada,Infrastructure,21/03/2023,Idea 944,Circular Economy,408,Single Contributor,Rejected,Not Started,No
dbf164a1,Canada,Infrastructure,05/08/2024,Idea 945,Circular Economy,412,Cross-Regional Team,Approved,Completed,No
d28e5675,South Africa,Environmental Policy,06/09/2024,Idea 946,Sustainable Transport,415,Cross-Regional Team,Rejected,Not Started,No
bb5966ea,Brazil,Environmental Policy,22/01/2024,Idea 947,Renewable Energy,444,Single Contributor,Rejected,Not Started,No
e68e1cdc,Germany,Environmental Policy,14/05/2024,Idea 948,Smart Cities,94,Single Contributor,Approved,In Progress,No
2f3e536a,Mexico,Renewable Energy,21/06/2023,Idea 949,Circular Economy,233,Cross-Regional Team,Approved,Completed,No
9d8ebb45,Australia,Research,04/08/2023,Idea 950,Renewable Energy,423,Cross-Regional Team,Rejected,Not Started,No
f7ec11dd,Australia,Urban Development,12/03/2023,Idea 951,Water Management,229,Cross-Regional Team,Rejected,Not Started,No
3c6499ed,South Africa,Urban Development,19/01/2024,Idea 952,Carbon Capture,445,Single Contributor,Rejected,Not Started,No
c19db0ea,France,Research,11/05/2023,Idea 953,Smart Cities,228,Single Contributor,Approved,Completed,Yes
10769857,France,Technology,16/03/2024,Idea 954,Carbon Capture,299,Cross-Regional Team,Pending,Not Started,No
422055f3,Australia,Technology,04/09/2024,Idea 955,Water Management,204,Cross-Regional Team,Rejected,Not Started,No
de15c81e,Mexico,Infrastructure,22/10/2023,Idea 956,Circular Economy,147,Single Contributor,Rejected,Not Started,Yes
7857d0c7,Germany,Research,27/04/2024,Idea 957,Renewable Energy,170,Cross-Regional Team,Approved,Not Started,No
d46effab,France,Technology,12/02/2024,Idea 958,Water Management,91,Cross-Regional Team,Pending,Not Started,No
fe2cf228,Canada,Infrastructure,25/03/2024,Idea 959,Sustainable Transport,188,Single Contributor,Approved,Not Started,No
6f7e4b8b,Brazil,Technology,22/09/2023,Idea 960,Water Management,452,Cross-Regional Team,Pending,Not Started,No
d2b90ef7,India,Renewable Energy,06/06/2023,Idea 961,Smart Cities,463,Single Contributor,Rejected,Not Started,No
8283f739,USA,Urban Development,27/03/2024,Idea 962,Renewable Energy,16,Cross-Regional Team,Rejected,Not Started,No
5f1e0227,Canada,Environmental Policy,01/11/2024,Idea 963,Smart Cities,75,Cross-Regional Team,Pending,Not Started,No
433b728c,China,Infrastructure,14/01/2024,Idea 964,Carbon Capture,20,Cross-Regional Team,Rejected,Not Started,No
d88e1074,Canada,Infrastructure,18/01/2024,Idea 965,Sustainable Transport,35,Single Contributor,Pending,Not Started,No
5a0043fc,Japan,Infrastructure,30/05/2023,Idea 966,Water Management,492,Cross-Regional Team,Approved,Not Started,No
ebb8e60e,Canada,Technology,18/11/2024,Idea 967,Sustainable Transport,36,Cross-Regional Team,Rejected,Not Started,No
77809da1,South Africa,Urban Development,27/05/2023,Idea 968,Renewable Energy,491,Single Contributor,Pending,Not Started,No
358b00e2,India,Renewable Energy,12/07/2024,Idea 969,Water Management,388,Cross-Regional Team,Approved,Completed,No
5702bb81,Mexico,Urban Development,31/08/2024,Idea 970,Circular Economy,313,Single Contributor,Pending,Not Started,No
0796deed,Australia,Urban Development,12/03/2023,Idea 971,Sustainable Transport,336,Cross-Regional Team,Pending,Not Started,No
1727feb4,Germany,Urban Development,03/09/2024,Idea 972,Circular Economy,307,Single Contributor,Rejected,Not Started,No
ae20dbb5,Canada,Environmental Policy,19/10/2023,Idea 973,Smart Cities,292,Cross-Regional Team,Pending,Not Started,No
f7793a3a,Mexico,Urban Development,08/02/2025,Idea 974,Sustainable Transport,374,Cross-Regional Team,Pending,Not Started,No
45f2897f,France,Urban Development,15/09/2024,Idea 975,Carbon Capture,404,Single Contributor,Rejected,Not Started,No
5dbd5ba7,Mexico,Urban Development,04/08/2024,Idea 976,Renewable Energy,438,Cross-Regional Team,Rejected,Not Started,No
665490f7,India,Research,04/03/2024,Idea 977,Renewable Energy,243,Single Contributor,Approved,Completed,No
53f2dc79,UK,Technology,07/01/2024,Idea 978,Carbon Capture,309,Single Contributor,Approved,Not Started,No
aa16603d,UK,Research,17/02/2025,Idea 979,Smart Cities,378,Single Contributor,Pending,Not Started,Yes
44096ce9,Australia,Urban Development,29/05/2024,Idea 980,Sustainable Transport,192,Single Contributor,Approved,In Progress,No
1e0166a3,UK,Renewable Energy,14/07/2023,Idea 981,Smart Cities,84,Single Contributor,Rejected,Not Started,No
30ba523e,Brazil,Infrastructure,01/11/2024,Idea 982,Water Management,28,Cross-Regional Team,Rejected,Not Started,No
cdc17c85,India,Environmental Policy,08/04/2023,Idea 983,Renewable Energy,278,Cross-Regional Team,Approved,Completed,No
fd21793a,Canada,Urban Development,17/07/2024,Idea 984,Renewable Energy,136,Single Contributor,Rejected,Not Started,No
3f542eaf,Japan,Technology,10/06/2024,Idea 985,Circular Economy,372,Single Contributor,Approved,Not Started,No
e456de04,France,Research,30/09/2024,Idea 986,Smart Cities,300,Cross-Regional Team,Rejected,Not Started,No
74482943,China,Infrastructure,07/01/2024,Idea 987,Carbon Capture,114,Single Contributor,Pending,Not Started,No
a65c566e,India,Infrastructure,01/09/2023,Idea 988,Water Management,52,Cross-Regional Team,Rejected,Not Started,No
baa523c1,China,Infrastructure,29/10/2023,Idea 989,Smart Cities,345,Single Contributor,Rejected,Not Started,No
514a84c1,UK,Infrastructure,10/02/2025,Idea 990,Smart Cities,393,Single Contributor,Pending,Not Started,No
ec9ad675,Mexico,Technology,01/05/2024,Idea 991,Sustainable Transport,401,Single Contributor,Rejected,Not Started,Yes
ebd286bf,India,Research,19/11/2024,Idea 992,Smart Cities,287,Single Contributor,Rejected,Not Started,No
89eacb54,UK,Urban Development,30/01/2025,Idea 993,Circular Economy,388,Single Contributor,Pending,Not Started,No
22b20188,France,Infrastructure,13/10/2024,Idea 994,Carbon Capture,61,Single Contributor,Pending,Not Started,Yes
28390aed,India,Urban Development,21/01/2024,Idea 995,Smart Cities,325,Cross-Regional Team,Rejected,Not Started,No
31bc4b95,Japan,Renewable Energy,23/09/2023,Idea 996,Sustainable Transport,12,Cross-Regional Team,Pending,Not Started,No
0cb76cae,UK,Renewable Energy,03/06/2024,Idea 997,Renewable Energy,103,Single Contributor,Rejected,Not Started,No
1c11cbff,USA,Technology,06/12/2023,Idea 998,Water Management,385,Cross-Regional Team,Approved,Completed,No
62c486c9,UK,Infrastructure,30/10/2024,Idea 999,Sustainable Transport,198,Cross-Regional Team,Rejected,Not Started,No
3fe1b943,Germany,Infrastructure,13/06/2024,Idea 1000,Water Management,430,Cross-Regional Team,Rejected,Not Started,No
6a4ae7e4,France,Renewable Energy,20/01/2024,Idea 1001,Smart Cities,49,Cross-Regional Team,Pending,Not Started,No
