Transaction ID,Customer ID,Book Title,Author,Genre,Purchase Method,Payment Method,Stock Before,Stock After,Loyalty Points,Promotion Applied,Discount Applied,Order Status,Restock Triggered
e627122b,Guest,Atomic Habits,James Clear,Self-Help,In-Store,Cash,25,23,0,None,0,Completed,No
3b0c4236,Guest,The Silent Patient,Alex Michaelides,Thriller,In-Store,Online Payment,29,28,0,None,0,Declined (Insufficient Funds),No
14707f7c,33f2e0,Educated,Tara Westover,Memoir,Online,Online Payment,34,31,30,Flat 50% Discount,50,Completed,No
c0596dbd,6b8b63,1984,George Orwell,Dystopian,Online,Online Payment,40,39,10,Flat 50% Discount,50,Completed,No
b968e66a,Guest,The Silent Patient,Alex Michaelides,Thriller,In-Store,Online Payment,11,8,0,None,0,Completed,No
7c48e707,400fd5,The Midnight Library,Matt Haig,Fantasy,Online,Cash,40,39,10,"Buy One, Get One Free",0,Completed,No
93588cfe,f47399,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Card,30,28,20,"Buy One, Get One Free",0,Completed,No
6251075b,180cc9,Where the Crawdads Sing,Delia Owens,Fiction,Online,Card,31,30,10,"Buy 3 Books, Get 1 Free",0,Completed,No
25a1340d,9dadc4,The Midnight Library,Matt Haig,Fantasy,Online,Online Payment,6,3,30,"Buy 3 Books, Get 1 Free",0,Completed,Yes
92429db4,Guest,The Silent Patient,Alex Michaelides,Thriller,In-Store,Cash,39,38,0,None,0,Completed,No
2c12b4e6,0679d7,Where the Crawdads Sing,Delia Owens,Fiction,Online,Cash,19,16,30,None,0,Completed,No
1787fa41,5363fa,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Online Payment,45,42,30,"Buy 3 Books, Get 1 Free",0,Completed,No
805f081d,6b4c52,The Midnight Library,Matt Haig,Fantasy,Online,Online Payment,45,42,30,Flat 50% Discount,50,Completed,No
19e2d223,Guest,The Midnight Library,Matt Haig,Fantasy,In-Store,Card,44,42,0,None,0,Completed,No
d560346f,Guest,The Catcher in the Rye,J.D. Salinger,Classic,In-Store,Cash,44,41,0,None,0,Completed,No
ef455a45,34e0f8,The Catcher in the Rye,J.D. Salinger,Classic,Online,Online Payment,19,16,30,Earn 2x Reward Points,0,Completed,No
611f79a2,Guest,The Catcher in the Rye,J.D. Salinger,Classic,In-Store,Online Payment,9,6,0,None,0,Completed,No
a577e29d,Guest,Where the Crawdads Sing,Delia Owens,Fiction,In-Store,Card,39,37,0,None,0,Completed,No
73876178,90dbfc,The Midnight Library,Matt Haig,Fantasy,Online,Card,7,4,30,None,0,Completed,Yes
de99eed2,Guest,Educated,Tara Westover,Memoir,In-Store,Online Payment,47,46,0,None,0,Completed,No
22385260,193176,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Card,12,9,30,Earn 2x Reward Points,0,Completed,No
7391538,12dea4,Dune,Frank Herbert,Sci-Fi,Online,Card,41,38,30,"Buy One, Get One Free",0,Declined (Insufficient Funds),No
641c120e,Guest,1984,George Orwell,Dystopian,In-Store,Cash,16,15,0,None,0,Completed,No
492829dd,43873e,The Catcher in the Rye,J.D. Salinger,Classic,Online,Online Payment,12,10,20,"Buy One, Get One Free",0,Completed,No
2db0dd41,941784,Becoming,Michelle Obama,Biography,Online,Online Payment,29,26,30,None,0,Completed,No
911fd4c2,46b3bb,The Catcher in the Rye,J.D. Salinger,Classic,Online,Cash,45,43,20,Earn 2x Reward Points,0,Completed,No
fd9e3f23,458d01,Becoming,Michelle Obama,Biography,Online,Cash,29,27,20,None,0,Completed,No
e0645f4e,5d8ed2,Dune,Frank Herbert,Sci-Fi,Online,Cash,7,4,30,Flat 50% Discount,50,Completed,Yes
d109e458,f65bef,Dune,Frank Herbert,Sci-Fi,Online,Online Payment,18,17,10,None,0,Completed,No
f231c4f6,8c9ad9,Educated,Tara Westover,Memoir,Online,Card,36,35,10,Earn 2x Reward Points,0,Completed,No
7edc9d40,e77a7f,The Midnight Library,Matt Haig,Fantasy,Online,Cash,38,37,10,None,0,Completed,No
37db57b6,5d7e7a,Becoming,Michelle Obama,Biography,Online,Online Payment,47,44,30,Earn 2x Reward Points,0,Completed,No
5051fdbf,01412d,1984,George Orwell,Dystopian,Online,Online Payment,45,43,20,None,0,Completed,No
4cd3412f,454648,Educated,Tara Westover,Memoir,Online,Cash,39,38,10,"Buy 3 Books, Get 1 Free",0,Completed,No
c0a1c330,Guest,The Catcher in the Rye,J.D. Salinger,Classic,In-Store,Card,30,27,0,None,0,Completed,No
a53430be,Guest,The Midnight Library,Matt Haig,Fantasy,In-Store,Cash,24,21,0,None,0,Completed,No
692499f4,Guest,The Silent Patient,Alex Michaelides,Thriller,In-Store,Card,47,45,0,None,0,Completed,No
9c94a9c1,47fff6,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Cash,42,41,10,"Buy One, Get One Free",0,Completed,No
aec01dab,15ff7f,The Midnight Library,Matt Haig,Fantasy,Online,Card,36,33,30,"Buy One, Get One Free",0,Completed,No
f4283c35,e96b41,The Midnight Library,Matt Haig,Fantasy,Online,Online Payment,36,33,30,"Buy 3 Books, Get 1 Free",0,Completed,No
9b3115b8,c89363,Becoming,Michelle Obama,Biography,Online,Online Payment,49,47,20,Earn 2x Reward Points,0,Completed,No
baa1d291,Guest,The Midnight Library,Matt Haig,Fantasy,In-Store,Cash,28,27,0,None,0,Completed,No
656b1304,7ef998,The Catcher in the Rye,J.D. Salinger,Classic,Online,Online Payment,22,21,10,Earn 2x Reward Points,0,Completed,No
3ee31978,f8152b,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Online Payment,43,40,30,"Buy 3 Books, Get 1 Free",0,Completed,No
00f87fff,19d6f8,Educated,Tara Westover,Memoir,Online,Cash,33,32,10,Flat 50% Discount,50,Completed,No
7d986fea,bb9b65,Educated,Tara Westover,Memoir,Online,Online Payment,19,16,30,"Buy One, Get One Free",0,Completed,No
ea9a6de9,Guest,The Silent Patient,Alex Michaelides,Thriller,In-Store,Card,41,39,0,None,0,Completed,No
4ceae3d9,d221fd,The Catcher in the Rye,J.D. Salinger,Classic,Online,Cash,47,45,20,Flat 50% Discount,50,Completed,No
04b9eedf,e13315,Atomic Habits,James Clear,Self-Help,Online,Online Payment,6,5,10,"Buy One, Get One Free",0,Completed,No
5b096a46,bc4e3b,Becoming,Michelle Obama,Biography,Online,Cash,17,14,30,Flat 50% Discount,50,Completed,No
d55eee3c,bd7780,Atomic Habits,James Clear,Self-Help,Online,Card,21,20,10,"Buy 3 Books, Get 1 Free",0,Completed,No
2282ec79,e12abc,Atomic Habits,James Clear,Self-Help,Online,Cash,29,27,20,Earn 2x Reward Points,0,Completed,No
e9a70114,e19c80,Dune,Frank Herbert,Sci-Fi,Online,Cash,36,33,30,Earn 2x Reward Points,0,Completed,No
4c0390c3,df5b44,Educated,Tara Westover,Memoir,Online,Cash,22,21,10,"Buy One, Get One Free",0,Completed,No
e59c98b0,691fa8,1984,George Orwell,Dystopian,Online,Online Payment,40,37,30,Earn 2x Reward Points,0,Completed,No
47a62456,8a76d4,1984,George Orwell,Dystopian,Online,Online Payment,40,38,20,"Buy One, Get One Free",0,Completed,No
21480a4c,d7d926,The Midnight Library,Matt Haig,Fantasy,Online,Cash,14,12,20,Flat 50% Discount,50,Completed,No
2f51a525,Guest,Dune,Frank Herbert,Sci-Fi,In-Store,Card,50,48,0,None,0,Completed,No
c179b16d,Guest,The Hobbit,J.R.R. Tolkien,Fantasy,In-Store,Cash,47,46,0,None,0,Completed,No
acfc6be8,f843e1,1984,George Orwell,Dystopian,Online,Card,24,21,30,"Buy One, Get One Free",0,Completed,No
1fe3b331,e74e96,Dune,Frank Herbert,Sci-Fi,Online,Cash,7,5,20,"Buy One, Get One Free",0,Completed,No
227745c4,Guest,The Midnight Library,Matt Haig,Fantasy,In-Store,Online Payment,42,39,0,None,0,Completed,No
9c2b0051,6e1c93,The Catcher in the Rye,J.D. Salinger,Classic,Online,Card,6,4,20,Flat 50% Discount,50,Completed,Yes
8e3d2ae2,98fca1,The Silent Patient,Alex Michaelides,Thriller,Online,Card,41,38,30,"Buy 3 Books, Get 1 Free",0,Completed,No
70d17c2e,8a300c,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Cash,38,35,30,Flat 50% Discount,50,Completed,No
b436ba69,4ef6dd,Atomic Habits,James Clear,Self-Help,Online,Card,42,40,20,"Buy 3 Books, Get 1 Free",0,Completed,No
8063de9b,Guest,1984,George Orwell,Dystopian,In-Store,Card,7,4,0,None,0,Completed,Yes
90e93313,888699,The Silent Patient,Alex Michaelides,Thriller,Online,Online Payment,18,17,10,"Buy 3 Books, Get 1 Free",0,Completed,No
364827d6,41e17f,Where the Crawdads Sing,Delia Owens,Fiction,Online,Online Payment,19,18,10,None,0,Completed,No
d584ca8a,9d4b76,Educated,Tara Westover,Memoir,Online,Online Payment,33,30,30,None,0,Completed,No
56036c3d,8dbb5c,Atomic Habits,James Clear,Self-Help,Online,Card,35,33,20,Flat 50% Discount,50,Completed,No
64225e3d,d7caa7,Becoming,Michelle Obama,Biography,Online,Online Payment,23,21,20,"Buy One, Get One Free",0,Declined (Insufficient Funds),No
6561301c,Guest,Becoming,Michelle Obama,Biography,In-Store,Online Payment,28,25,0,None,0,Completed,No
856a69ba,50c23a,Becoming,Michelle Obama,Biography,Online,Online Payment,15,12,30,"Buy 3 Books, Get 1 Free",0,Completed,No
2b2ca07e,9b5969,Becoming,Michelle Obama,Biography,Online,Card,15,13,20,"Buy 3 Books, Get 1 Free",0,Completed,No
8d02659e,29271c,Dune,Frank Herbert,Sci-Fi,Online,Card,8,5,30,None,0,Completed,No
ccdc4444,Guest,The Hobbit,J.R.R. Tolkien,Fantasy,In-Store,Card,34,31,0,None,0,Completed,No
fb00d66c,1acaaa,The Midnight Library,Matt Haig,Fantasy,Online,Card,47,45,20,None,0,Completed,No
bff79e9c,1ee6f0,The Catcher in the Rye,J.D. Salinger,Classic,Online,Card,39,38,10,None,0,Completed,No
3.01E+05,Guest,1984,George Orwell,Dystopian,In-Store,Cash,8,6,0,None,0,Completed,No
f19224be,b87b9b,Educated,Tara Westover,Memoir,Online,Online Payment,24,21,30,"Buy One, Get One Free",0,Completed,No
a0eed011,26fec5,The Catcher in the Rye,J.D. Salinger,Classic,Online,Cash,8,6,20,None,0,Completed,No
36595d1d,c6cf67,Atomic Habits,James Clear,Self-Help,Online,Card,28,26,20,Flat 50% Discount,50,Completed,No
73cc3170,f8dca5,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Card,25,23,20,None,0,Completed,No
16fb4298,Guest,Educated,Tara Westover,Memoir,In-Store,Cash,22,19,0,None,0,Completed,No
5eb6ee98,9f8f87,Dune,Frank Herbert,Sci-Fi,Online,Cash,49,46,30,Earn 2x Reward Points,0,Completed,No
b1aed0f9,ff734e,The Midnight Library,Matt Haig,Fantasy,Online,Cash,6,3,30,Earn 2x Reward Points,0,Completed,Yes
5f2aced2,e247d2,Dune,Frank Herbert,Sci-Fi,Online,Cash,41,39,20,None,0,Completed,No
b3c1af67,88e0e2,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Cash,28,26,20,Flat 50% Discount,50,Completed,No
6.87E+42,0ca9bb,Educated,Tara Westover,Memoir,Online,Online Payment,34,31,30,Earn 2x Reward Points,0,Completed,No
e73a0f2d,33f323,Educated,Tara Westover,Memoir,Online,Cash,20,17,30,None,0,Completed,No
6ee479e9,a96d0d,1984,George Orwell,Dystopian,Online,Online Payment,36,33,30,Earn 2x Reward Points,0,Completed,No
38cc6197,7870cb,Dune,Frank Herbert,Sci-Fi,Online,Cash,38,35,30,None,0,Completed,No
cb9390fb,Guest,The Hobbit,J.R.R. Tolkien,Fantasy,In-Store,Online Payment,39,36,0,None,0,Completed,No
dcb5a1c0,d0cdba,The Silent Patient,Alex Michaelides,Thriller,Online,Online Payment,24,22,20,None,0,Completed,No
8eb1f3b1,69c9f2,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Card,15,12,30,None,0,Completed,No
50da0a88,46636a,The Catcher in the Rye,J.D. Salinger,Classic,Online,Cash,28,27,10,Flat 50% Discount,50,Completed,No
d313f1af,e723cb,Becoming,Michelle Obama,Biography,Online,Card,25,22,30,Earn 2x Reward Points,0,Completed,No
02f61043,Guest,The Catcher in the Rye,J.D. Salinger,Classic,In-Store,Cash,9,6,0,None,0,Completed,No
5.74E+09,eaa148,The Silent Patient,Alex Michaelides,Thriller,Online,Card,41,38,30,Flat 50% Discount,50,Completed,No
408fedc0,4f4db1,Educated,Tara Westover,Memoir,Online,Online Payment,13,12,10,"Buy One, Get One Free",0,Completed,No
ae52c5cf,76aff7,Atomic Habits,James Clear,Self-Help,Online,Card,43,41,20,Earn 2x Reward Points,0,Completed,No
dc8296c1,d84156,The Silent Patient,Alex Michaelides,Thriller,Online,Cash,36,34,20,None,0,Completed,No
9ef19633,Guest,Dune,Frank Herbert,Sci-Fi,In-Store,Cash,44,42,0,None,0,Completed,No
fc3f9da4,Guest,Educated,Tara Westover,Memoir,In-Store,Card,28,27,0,None,0,Completed,No
780b41ff,12f898,The Midnight Library,Matt Haig,Fantasy,Online,Online Payment,8,5,30,None,0,Completed,No
8d0ef8ca,Guest,The Catcher in the Rye,J.D. Salinger,Classic,In-Store,Card,18,16,0,None,0,Completed,No
0fc6cd45,Guest,The Hobbit,J.R.R. Tolkien,Fantasy,In-Store,Cash,12,9,0,None,0,Completed,No
c5ba8ad0,ce0982,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Card,44,43,10,None,0,Completed,No
03a51827,91814e,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Card,37,36,10,None,0,Declined (Insufficient Funds),No
9a988f01,Guest,The Silent Patient,Alex Michaelides,Thriller,In-Store,Card,18,15,0,None,0,Completed,No
6d805fc7,Guest,Atomic Habits,James Clear,Self-Help,In-Store,Online Payment,36,35,0,None,0,Completed,No
f40d4d9c,dba54a,Becoming,Michelle Obama,Biography,Online,Cash,38,37,10,Earn 2x Reward Points,0,Completed,No
6fd356bb,49aae1,The Midnight Library,Matt Haig,Fantasy,Online,Cash,29,27,20,"Buy One, Get One Free",0,Declined (Insufficient Funds),No
73ce25aa,Guest,Becoming,Michelle Obama,Biography,In-Store,Card,42,39,0,None,0,Completed,No
44a9f550,8f3295,Where the Crawdads Sing,Delia Owens,Fiction,Online,Online Payment,36,34,20,"Buy 3 Books, Get 1 Free",0,Completed,No
5b80930d,7e3f7b,1984,George Orwell,Dystopian,Online,Card,9,8,10,Earn 2x Reward Points,0,Declined (Insufficient Funds),No
f5c72f59,0a3a67,Becoming,Michelle Obama,Biography,Online,Online Payment,28,26,20,Earn 2x Reward Points,0,Completed,No
96c9346e,Guest,Educated,Tara Westover,Memoir,In-Store,Cash,31,29,0,None,0,Completed,No
5bc51e0c,6f1fc8,Where the Crawdads Sing,Delia Owens,Fiction,Online,Card,48,46,20,"Buy 3 Books, Get 1 Free",0,Completed,No
7dd0547e,a00e1e,Becoming,Michelle Obama,Biography,Online,Card,36,34,20,Earn 2x Reward Points,0,Completed,No
e032876c,9e8025,Atomic Habits,James Clear,Self-Help,Online,Cash,13,12,10,Earn 2x Reward Points,0,Completed,No
bb8eed0b,Guest,The Midnight Library,Matt Haig,Fantasy,In-Store,Cash,21,19,0,None,0,Completed,No
bff90b58,da56f7,The Midnight Library,Matt Haig,Fantasy,Online,Card,38,37,10,"Buy One, Get One Free",0,Completed,No
0c827f2e,b3c41e,Atomic Habits,James Clear,Self-Help,Online,Card,43,40,30,Earn 2x Reward Points,0,Completed,No
32a54c71,d2c9e2,The Catcher in the Rye,J.D. Salinger,Classic,Online,Online Payment,44,42,20,"Buy One, Get One Free",0,Completed,No
c91afbb5,83b1af,1984,George Orwell,Dystopian,Online,Card,16,13,30,Flat 50% Discount,50,Completed,No
722fde58,0b6449,Dune,Frank Herbert,Sci-Fi,Online,Card,34,33,10,None,0,Declined (Insufficient Funds),No
9.21E+52,Guest,The Hobbit,J.R.R. Tolkien,Fantasy,In-Store,Card,37,36,0,None,0,Completed,No
d9e4e51f,82547b,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Cash,38,37,10,"Buy One, Get One Free",0,Completed,No
e1dda6f9,292bb0,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Card,9,6,30,Earn 2x Reward Points,0,Completed,No
beb78c06,Guest,The Catcher in the Rye,J.D. Salinger,Classic,In-Store,Online Payment,49,46,0,None,0,Completed,No
ffd3fcce,d477d1,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Card,19,17,20,None,0,Completed,No
72a9047e,cc6373,Becoming,Michelle Obama,Biography,Online,Cash,36,34,20,"Buy 3 Books, Get 1 Free",0,Completed,No
02cb064f,Guest,Atomic Habits,James Clear,Self-Help,In-Store,Card,15,13,0,None,0,Completed,No
82c32650,243cae,1984,George Orwell,Dystopian,Online,Online Payment,33,30,30,Flat 50% Discount,50,Completed,No
c61c6eb4,878dbc,1984,George Orwell,Dystopian,Online,Card,19,16,30,"Buy One, Get One Free",0,Declined (Insufficient Funds),No
112b2ead,ce768a,The Silent Patient,Alex Michaelides,Thriller,Online,Card,42,41,10,"Buy 3 Books, Get 1 Free",0,Completed,No
1f9d0bd1,916566,The Catcher in the Rye,J.D. Salinger,Classic,Online,Cash,7,4,30,Earn 2x Reward Points,0,Completed,Yes
d7104112,Guest,The Silent Patient,Alex Michaelides,Thriller,In-Store,Cash,12,9,0,None,0,Completed,No
4497789,a7caf8,Where the Crawdads Sing,Delia Owens,Fiction,Online,Card,29,28,10,None,0,Completed,No
98a11bcc,766d7f,Becoming,Michelle Obama,Biography,Online,Card,42,39,30,Earn 2x Reward Points,0,Completed,No
95f39768,0bc7a1,Becoming,Michelle Obama,Biography,Online,Cash,48,45,30,None,0,Completed,No
89cad58a,Guest,Educated,Tara Westover,Memoir,In-Store,Card,17,15,0,None,0,Completed,No
85c42719,186043,The Catcher in the Rye,J.D. Salinger,Classic,Online,Online Payment,23,22,10,Earn 2x Reward Points,0,Completed,No
034f2e67,35302b,Atomic Habits,James Clear,Self-Help,Online,Card,39,37,20,Earn 2x Reward Points,0,Completed,No
7821d80f,f2ad5f,1984,George Orwell,Dystopian,Online,Online Payment,20,19,10,Earn 2x Reward Points,0,Completed,No
869d7e7c,0de465,Where the Crawdads Sing,Delia Owens,Fiction,Online,Online Payment,40,39,10,"Buy One, Get One Free",0,Completed,No
e10155a6,021bab,Becoming,Michelle Obama,Biography,Online,Card,37,36,10,Earn 2x Reward Points,0,Completed,No
5861fb71,930756,The Catcher in the Rye,J.D. Salinger,Classic,Online,Online Payment,47,45,20,None,0,Completed,No
4bd6a723,b17d57,Becoming,Michelle Obama,Biography,Online,Card,18,15,30,"Buy One, Get One Free",0,Completed,No
c7f60f1c,ae4190,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Online Payment,38,36,20,Earn 2x Reward Points,0,Completed,No
6a3e8547,b7a36b,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Card,49,47,20,Earn 2x Reward Points,0,Completed,No
5aa73ac8,543882,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Card,31,29,20,Earn 2x Reward Points,0,Completed,No
1ca11ea9,Guest,Becoming,Michelle Obama,Biography,In-Store,Card,21,18,0,None,0,Completed,No
88686084,Guest,The Hobbit,J.R.R. Tolkien,Fantasy,In-Store,Cash,43,40,0,None,0,Completed,No
7a9c7f02,a2a0be,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Cash,28,26,20,None,0,Declined (Insufficient Funds),No
6e17adaf,31491c,Atomic Habits,James Clear,Self-Help,Online,Card,15,14,10,Flat 50% Discount,50,Completed,No
4eb93842,Guest,Dune,Frank Herbert,Sci-Fi,In-Store,Card,50,48,0,None,0,Completed,No
cdecff2e,14ef3c,Where the Crawdads Sing,Delia Owens,Fiction,Online,Online Payment,42,39,30,None,0,Completed,No
8ea6bf84,1ec6c1,The Catcher in the Rye,J.D. Salinger,Classic,Online,Cash,49,48,10,"Buy 3 Books, Get 1 Free",0,Completed,No
45fa70a2,3d91b6,1984,George Orwell,Dystopian,Online,Online Payment,38,35,30,"Buy 3 Books, Get 1 Free",0,Completed,No
0536e3ed,d357c5,Atomic Habits,James Clear,Self-Help,Online,Online Payment,41,40,10,None,0,Completed,No
7a3e647a,Guest,The Hobbit,J.R.R. Tolkien,Fantasy,In-Store,Cash,46,43,0,None,0,Completed,No
7f8aa116,7fc404,Becoming,Michelle Obama,Biography,Online,Cash,22,20,20,"Buy 3 Books, Get 1 Free",0,Completed,No
ce5be518,38b27d,1984,George Orwell,Dystopian,Online,Cash,32,31,10,"Buy One, Get One Free",0,Completed,No
5.27E+11,87604a,Educated,Tara Westover,Memoir,Online,Cash,27,26,10,Earn 2x Reward Points,0,Completed,No
5abd3b82,Guest,The Midnight Library,Matt Haig,Fantasy,In-Store,Card,48,45,0,None,0,Completed,No
11f692dd,Guest,Where the Crawdads Sing,Delia Owens,Fiction,In-Store,Card,20,17,0,None,0,Completed,No
d307f091,Guest,1984,George Orwell,Dystopian,In-Store,Card,24,23,0,None,0,Completed,No
f2dc5897,Guest,The Silent Patient,Alex Michaelides,Thriller,In-Store,Online Payment,25,24,0,None,0,Completed,No
0ad29f6c,4133ce,Atomic Habits,James Clear,Self-Help,Online,Cash,27,26,10,None,0,Completed,No
ca62b9bc,103684,The Catcher in the Rye,J.D. Salinger,Classic,Online,Online Payment,12,9,30,"Buy 3 Books, Get 1 Free",0,Completed,No
f0b7eeec,19c37d,Atomic Habits,James Clear,Self-Help,Online,Cash,44,41,30,"Buy 3 Books, Get 1 Free",0,Declined (Insufficient Funds),No
b6d7c889,74d54f,Where the Crawdads Sing,Delia Owens,Fiction,Online,Cash,24,22,20,Flat 50% Discount,50,Completed,No
3cdd19cf,876ba1,1984,George Orwell,Dystopian,Online,Online Payment,14,13,10,"Buy One, Get One Free",0,Completed,No
ed1005ae,Guest,Dune,Frank Herbert,Sci-Fi,In-Store,Card,49,47,0,None,0,Completed,No
97e88a9c,741d42,Atomic Habits,James Clear,Self-Help,Online,Card,28,26,20,"Buy 3 Books, Get 1 Free",0,Completed,No
e8925c12,0b08fd,Becoming,Michelle Obama,Biography,Online,Card,34,32,20,"Buy 3 Books, Get 1 Free",0,Completed,No
d394866c,58f003,Becoming,Michelle Obama,Biography,Online,Card,45,43,20,None,0,Completed,No
b4223e62,6e020c,The Midnight Library,Matt Haig,Fantasy,Online,Cash,9,6,30,"Buy One, Get One Free",0,Completed,No
bed8e27d,e18212,The Silent Patient,Alex Michaelides,Thriller,Online,Card,13,11,20,"Buy 3 Books, Get 1 Free",0,Completed,No
5010ca09,de99a6,Atomic Habits,James Clear,Self-Help,Online,Card,23,22,10,"Buy One, Get One Free",0,Completed,No
f61d4b95,e8f1c5,Educated,Tara Westover,Memoir,Online,Cash,46,45,10,"Buy One, Get One Free",0,Completed,No
6724d250,1c9886,1984,George Orwell,Dystopian,Online,Card,49,47,20,"Buy 3 Books, Get 1 Free",0,Completed,No
238b04f9,d129bb,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Online Payment,38,36,20,Earn 2x Reward Points,0,Completed,No
1e3bfe9b,Guest,The Silent Patient,Alex Michaelides,Thriller,In-Store,Cash,43,40,0,None,0,Completed,No
90490ad2,f26158,The Catcher in the Rye,J.D. Salinger,Classic,Online,Online Payment,31,29,20,None,0,Completed,No
f4ecf9b0,72808,Educated,Tara Westover,Memoir,Online,Cash,18,15,30,"Buy One, Get One Free",0,Completed,No
17175780,0e1ab9,The Catcher in the Rye,J.D. Salinger,Classic,Online,Online Payment,34,32,20,"Buy One, Get One Free",0,Completed,No
9b1406c5,0abb97,Educated,Tara Westover,Memoir,Online,Online Payment,32,30,20,Earn 2x Reward Points,0,Completed,No
0299f1f3,8db370,The Midnight Library,Matt Haig,Fantasy,Online,Card,26,23,30,Earn 2x Reward Points,0,Completed,No
a8cc85fc,02cd30,Atomic Habits,James Clear,Self-Help,Online,Online Payment,25,23,20,"Buy 3 Books, Get 1 Free",0,Completed,No
66ab2dee,91762,1984,George Orwell,Dystopian,Online,Online Payment,5,2,30,"Buy One, Get One Free",0,Completed,Yes
70ca24cf,c569a1,The Midnight Library,Matt Haig,Fantasy,Online,Cash,24,21,30,Earn 2x Reward Points,0,Completed,No
ddc6585c,Guest,The Midnight Library,Matt Haig,Fantasy,In-Store,Card,37,36,0,None,0,Completed,No
cda5449c,c5994a,1984,George Orwell,Dystopian,Online,Cash,30,28,20,"Buy 3 Books, Get 1 Free",0,Completed,No
226f44ac,Guest,The Silent Patient,Alex Michaelides,Thriller,In-Store,Card,14,11,0,None,0,Completed,No
d0db6deb,21f602,Becoming,Michelle Obama,Biography,Online,Cash,35,33,20,"Buy One, Get One Free",0,Completed,No
055c990b,fe9f02,The Silent Patient,Alex Michaelides,Thriller,Online,Cash,48,45,30,"Buy 3 Books, Get 1 Free",0,Completed,No
f0b28d70,019cec,Educated,Tara Westover,Memoir,Online,Card,17,16,10,"Buy One, Get One Free",0,Completed,No
2931f3e9,f39799,Atomic Habits,James Clear,Self-Help,Online,Online Payment,13,10,30,"Buy 3 Books, Get 1 Free",0,Completed,No
eb357901,Guest,Where the Crawdads Sing,Delia Owens,Fiction,In-Store,Card,26,23,0,None,0,Completed,No
fa1da979,Guest,Becoming,Michelle Obama,Biography,In-Store,Cash,44,42,0,None,0,Completed,No
0bac1628,4222cb,Where the Crawdads Sing,Delia Owens,Fiction,Online,Online Payment,45,43,20,Flat 50% Discount,50,Completed,No
2368e6be,f7b0e3,The Catcher in the Rye,J.D. Salinger,Classic,Online,Card,35,33,20,"Buy 3 Books, Get 1 Free",0,Completed,No
fffd5880,Guest,The Silent Patient,Alex Michaelides,Thriller,In-Store,Cash,48,46,0,None,0,Completed,No
1458e8b9,cbbd57,Becoming,Michelle Obama,Biography,Online,Cash,33,30,30,"Buy One, Get One Free",0,Completed,No
83ae211f,9d214c,Becoming,Michelle Obama,Biography,Online,Card,25,22,30,None,0,Completed,No
af6a82ff,f13130,1984,George Orwell,Dystopian,Online,Cash,23,21,20,"Buy 3 Books, Get 1 Free",0,Completed,No
9f990f3a,Guest,Educated,Tara Westover,Memoir,In-Store,Cash,12,10,0,None,0,Completed,No
c3a88adc,Guest,The Silent Patient,Alex Michaelides,Thriller,In-Store,Online Payment,6,4,0,None,0,Completed,Yes
35be4e43,Guest,Educated,Tara Westover,Memoir,In-Store,Cash,35,33,0,None,0,Completed,No
d1964cf0,Guest,The Silent Patient,Alex Michaelides,Thriller,In-Store,Card,26,25,0,None,0,Completed,No
740ca121,Guest,Becoming,Michelle Obama,Biography,In-Store,Card,25,22,0,None,0,Completed,No
0a8f2a7b,f85087,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Cash,6,3,30,Earn 2x Reward Points,0,Completed,Yes
a1760735,Guest,Educated,Tara Westover,Memoir,In-Store,Online Payment,43,41,0,None,0,Completed,No
e0ad34f0,bcb224,The Hobbit,J.R.R. Tolkien,Fantasy,Online,Online Payment,48,46,20,Earn 2x Reward Points,0,Completed,No
1b06da22,424b64,Dune,Frank Herbert,Sci-Fi,Online,Cash,31,29,20,"Buy One, Get One Free",0,Completed,No
58ce952d,774904,Becoming,Michelle Obama,Biography,Online,Card,18,17,10,None,0,Completed,No
46eb77d4,Guest,Dune,Frank Herbert,Sci-Fi,In-Store,Card,14,12,0,None,0,Completed,No
fd361738,Guest,1984,George Orwell,Dystopian,In-Store,Cash,34,31,0,None,0,Completed,No
537fa3a0,Guest,The Hobbit,J.R.R. Tolkien,Fantasy,In-Store,Online Payment,12,10,0,None,0,Completed,No
2be67175,70a9d6,Atomic Habits,James Clear,Self-Help,Online,Cash,50,49,10,Earn 2x Reward Points,0,Completed,No
